id,user,tenant_id,metodoPago,fechaCreacion,fechaEntrega,fechaCancelacion,estado,repartidor,direccion_entrega,lat,lon,total,calificacion,comentario,tiempo_entrega_min
1,433,2,CRIPTO,2024-12-26 09:50:18.000000,2024-12-26 10:54:18,,ENTREGADO,,"Glorieta Andrés Benavides 75, Cuenca, 30736, Buenos Aires, Argentina",-34.665465,-58.519198,6048.33,2.0,,64.0
2,20,3,PESOS,2025-01-13 17:27:46.000000,2025-01-13 18:30:46,,ENTREGADO,,"Glorieta de Berto Portillo 21 Puerta 6 , Valencia, 27364, Buenos Aires, Argentina",-34.665465,-58.519198,6328.13,4.0,,63.0
3,368,20,CRIPTO,2025-01-04 20:18:33.000000,,2025-01-04 20:24:33,CANCELADO,,"Acceso de Che Llorente 12 Apt. 31 , Málaga, 08979, Buenos Aires, Argentina",-34.665465,-58.519198,7873.12,,,
4,178,14,PESOS,2025-01-17 02:44:55.000000,,2025-01-17 02:52:55,CANCELADO,,"Callejón de José Antonio Expósito 36, Tarragona, 49903, Buenos Aires, Argentina",-34.665465,-58.519198,3425.8,,,
5,358,20,PESOS,2025-01-09 05:01:23.000000,2025-01-09 05:50:23,,ENTREGADO,,"Vial de Hugo Sanz 7 Piso 6 , La Rioja, 30403, Buenos Aires, Argentina",-34.665465,-58.519198,6240.32,3.0,,49.0
6,60,17,PESOS,2024-12-22 22:14:35.000000,2024-12-22 23:10:35,,ENTREGADO,,"Paseo Mar Muñoz 83, Murcia, 39051, Buenos Aires, Argentina",-34.665465,-58.519198,6435.09,5.0,,56.0
7,119,11,PESOS,2025-01-03 00:46:18.000000,2025-01-03 01:53:18,,ENTREGADO,,"C. Francisco Quintanilla 40 Apt. 45 , Castellón, 40933, Buenos Aires, Argentina",-34.665465,-58.519198,4021.08,3.0,,67.0
8,219,18,CRIPTO,2025-01-11 21:04:28.000000,2025-01-11 22:11:28,,ENTREGADO,,"Acceso Eusebio Ricart 55 Piso 6 , Toledo, 48339, Buenos Aires, Argentina",-34.665465,-58.519198,3326.89,5.0,,67.0
9,414,13,PESOS,2025-01-14 03:36:02.000000,2025-01-14 04:31:02,,ENTREGADO,,"Cuesta Saturnina Valcárcel 90, Valladolid, 08123, Buenos Aires, Argentina",-34.665465,-58.519198,7305.45,4.0,Laudantium amet dignissimos neque.,55.0
10,483,16,CRIPTO,2024-12-21 17:40:06.000000,2024-12-21 18:40:06,,ENTREGADO,,"Via Asunción Durán 86, Baleares, 19234, Buenos Aires, Argentina",-34.665465,-58.519198,1647.86,1.0,,60.0
11,110,10,PESOS,2025-01-15 14:38:49.000000,2025-01-15 15:48:49,,ENTREGADO,,"Vial de Lidia Herrera 97 Puerta 2 , Granada, 50620, Buenos Aires, Argentina",-34.665465,-58.519198,3790.9,2.0,Nulla fugiat enim.,70.0
12,62,7,CRIPTO,2025-01-04 17:37:33.000000,,2025-01-04 17:43:33,CANCELADO,,"C. Guadalupe Rius 64, Cuenca, 03235, Buenos Aires, Argentina",-34.665465,-58.519198,1070.28,,,
