id,nombre,apellido,email,telefono,contraseña,activo,estado,tipo_vehiculo,fecha_registro,fecha_actualizacion
1,Rosenda,Alcázar,sanchofranch@example.org,+34883 70 46 28,5#U1H3lm@h,True,activo,Bicicleta,2025-01-21 06:46:49,2025-03-18 06:46:49
2,Adelaida,Pont,jimenaarnau@example.org,+34844484230,0)AQlKse_x,False,inactivo,Auto,2024-08-16 17:55:27,2024-09-16 17:55:27
3,Celestina,Raya,martinezjose-carlos@example.net,+34959 808 791,s6@EAbzg+N,True,activo,Bicicleta,2024-06-08 12:42:13,2024-07-12 12:42:13
4,Lara,Ayuso,cirotorrent@example.org,+34 803712240,0L9B4ZeyV^,True,activo,Moto,2024-11-06 17:51:27,2025-02-04 17:51:27
5,Rosalía,Arribas,canellassebastian@example.com,+34 842 355 454,@uDX6kcd9L,False,inactivo,Auto,2024-06-02 15:34:10,2024-08-23 15:34:10
6,Aristides,Alarcón,castrillomaria-pilar@example.com,+34 948 356 418,4_%WR0R_0a,True,activo,Auto,2024-06-23 05:11:23,2024-07-18 05:11:23
7,Berto,Teruel,montenegrogustavo@example.org,+34 730 756 227,DdWS7GKe__,False,inactivo,Moto,2025-04-06 03:13:25,2025-04-26 03:13:25
8,Anastasia,Pagès,iniguezpancho@example.com,+34 861 503 779,#SFWrkk*P3,True,activo,Auto,2024-08-14 06:47:31,2024-10-05 06:47:31
9,Flavio,Patiño,maria-del-carmen36@example.com,+34984704072,(YHRHOqt^8,True,activo,Auto,2024-10-04 08:15:53,2024-10-28 08:15:53
10,Guillermo,Rueda,amor29@example.com,+34 949469383,seo2EbgPz_,True,activo,Moto,2024-05-22 23:09:11,2024-06-02 23:09:11
11,Anunciación,Ballesteros,pmateos@example.org,+34923 56 35 77,gcat9Lif*(,False,inactivo,Moto,2025-03-10 22:03:11,2025-04-13 22:03:11
12,Ileana,Roldán,leonmacarena@example.com,+34 631444814,pP3rHuXr!Y,True,activo,Moto,2024-12-24 07:24:54,2025-01-06 07:24:54
13,Francisco,Lozano,barcojose-carlos@example.org,+34874 96 16 53,1VUV_wh*@x,False,inactivo,Moto,2025-05-13 22:03:45,2025-07-01 22:03:45
14,Paulino,Pi,alvarezmilagros@example.org,+34 888900750,C4+RCikl(9,False,inactivo,Auto,2024-08-03 22:18:37,2024-09-03 22:18:37
15,Emigdio,Riera,leonardoperal@example.com,+34884 83 36 05,+OSifea9B7,False,inactivo,Bicicleta,2025-03-25 02:32:48,2025-05-06 02:32:48
16,Noemí,Chaves,quevedoteo@example.com,+34 926 077 787,4kpVKYCf^+,True,activo,Bicicleta,2024-08-08 09:06:42,2024-10-05 09:06:42
17,Maximino,Arroyo,julieta27@example.com,+34948 05 65 88,f!2K)si__5,True,activo,Moto,2024-09-12 13:06:40,2024-12-07 13:06:40
